time,open,high,low,close,volume
1988-02-25,1.1529,1.1538,1.1522999999999999,1.1531,281
1988-02-26,1.1592,1.1592,1.1592,1.1592,1
1988-02-29,1.1584,1.1585,1.1583,1.1584,41
1988-03-01,1.16,1.1602000000000001,1.1589,1.1597,231
1988-03-02,1.1548,1.1548,1.1542,1.1547,111
1988-03-03,1.1531,1.1532,1.1526,1.1528,91
1988-03-04,1.1565,1.1577,1.155,1.1565,541
1988-03-07,1.1649,1.1662,1.1619,1.1645,821
1988-03-08,1.1711,1.1719,1.1698,1.1713,401
1988-03-09,1.1723,1.1723,1.1715,1.1722,151
1988-03-10,1.1746,1.1746,1.1745,1.1746,21
1988-03-11,1.177,1.177,1.1767,1.177,61
1988-03-14,1.1774,1.1801,1.1757,1.1772,861
1988-03-15,1.1743999999999999,1.1755,1.1743000000000001,1.1746,221
1988-03-16,1.1707,1.1727,1.1703000000000001,1.171,451
1988-03-17,1.1621,1.174,1.1562999999999999,1.1622,3531
1988-03-18,1.1533,1.1549,1.1528,1.1536,391
1988-03-21,1.1562000000000001,1.1562000000000001,1.1562000000000001,1.1562000000000001,1
1988-03-22,1.1552,1.1558,1.1545,1.1553,251
1988-03-23,1.1556,1.1562000000000001,1.1547,1.1555,291
1988-03-24,1.1636,1.1644,1.1614,1.1633,571
1988-03-25,1.1666,1.1667,1.1658,1.1663000000000001,151
1988-03-28,1.1766,1.1776,1.1748,1.1767,551
1988-03-29,1.176,1.1761,1.1755,1.176,121
1988-03-30,1.175,1.1756,1.1743999999999999,1.1749,231
1988-03-31,1.1809,1.181,1.1798,1.1808,231
1988-04-01,1.1807,1.1812,1.1804999999999999,1.181,111
1988-04-04,1.1818,1.1824,1.1808,1.182,301
1988-04-05,1.1727,1.1753,1.1713,1.1728,791
1988-04-06,1.1693,1.1709,1.1685,1.1692,471
1988-04-07,1.1639,1.1641,1.1635,1.1638,111
1988-04-08,1.1688,1.1694,1.1679,1.1688,301
1988-04-11,1.1598,1.1602999999999999,1.1596,1.1599,131
1988-04-12,1.1594,1.1605,1.1586,1.1593,371
1988-04-13,1.1561,1.158,1.1548,1.1557,601
1988-04-14,1.1743999999999999,1.1761,1.1708,1.1741,1031
1988-04-15,1.1775,1.1775,1.1775,1.1775,1
1988-04-18,1.1793,1.18,1.1782,1.1795,341
1988-04-19,1.1748,1.176,1.1726,1.1752,641
1988-04-20,1.1758,1.1772,1.1755,1.1758,341
1988-04-21,1.175,1.1753,1.1747,1.175,121
1988-04-22,1.1697,1.1706,1.1694,1.1699,221
1988-04-25,1.1666,1.1678,1.1657,1.1663999999999999,401
1988-04-26,1.1682,1.17,1.1676,1.1681,471
1988-04-27,1.1663999999999999,1.1675,1.1642000000000001,1.1667,631
1988-04-28,1.1716,1.1721,1.1706,1.1714,281
1988-04-29,1.1693,1.172,1.1678,1.1693,841
1988-05-02,1.166,1.1678,1.1649,1.1663000000000001,551
1988-05-03,1.1662,1.1663999999999999,1.1659,1.1661,91
1988-05-04,1.1639,1.1641,1.163,1.1639,221
1988-05-05,1.1656,1.1673,1.1648,1.1655,491
1988-05-06,1.1634,1.164,1.1629,1.1637,191
1988-05-09,1.1633,1.164,1.163,1.1633,201
1988-05-10,1.1652,1.1655,1.1648,1.1651,131
1988-05-11,1.1658,1.1658,1.1655,1.1658,61
1988-05-12,1.1643,1.1647,1.163,1.164,311
1988-05-13,1.1628,1.1641,1.1617,1.1628,481
1988-05-16,1.1584,1.1597,1.1581,1.1587,291
1988-05-17,1.1473,1.1474,1.1473,1.1473,21
1988-05-18,1.1466,1.1466,1.1466,1.1466,1
1988-05-19,1.1505,1.151,1.1501000000000001,1.1504,171
1988-05-20,1.1482999999999999,1.1485,1.1482999999999999,1.1484,31
1988-05-23,1.1491,1.1496,1.1482999999999999,1.149,251
1988-05-24,1.1493,1.1509,1.1485,1.1493,481
1988-05-25,1.1471,1.1482999999999999,1.1463,1.147,391
1988-05-26,1.1464,1.1485,1.145,1.1463,691
1988-05-27,1.1391,1.1412,1.138,1.1393,621
1988-05-31,1.1319,1.1335,1.1309,1.1320999999999999,501
1988-06-01,1.1341,1.135,1.1334,1.134,311
1988-06-02,1.1332,1.1338,1.1314,1.1328,441
1988-06-03,1.1332,1.1343,1.1325,1.1332,361
1988-06-06,1.1383,1.139,1.1374,1.1387,281
1988-06-07,1.1405,1.1414,1.1402,1.1406,231
1988-06-08,1.1386,1.1396,1.1381999999999999,1.1384,261
1988-06-09,1.1367,1.137,1.1360999999999999,1.1367,181
1988-06-10,1.1377,1.1384,1.1373,1.1377,221
1988-06-13,1.1336,1.1336,1.1336,1.1336,1
1988-06-14,1.1208,1.1239,1.1194,1.1207,891
1988-06-15,1.1157,1.1165,1.1154,1.1158,211
1988-06-16,1.1166,1.1199,1.115,1.1164,961
1988-06-17,1.1155,1.1157,1.1148,1.1156,171
1988-06-20,1.1121,1.1143,1.1112,1.112,611
1988-06-21,1.1132,1.1134,1.1124,1.1129,171
1988-06-22,1.1009,1.103,1.0995,1.1006,671
1988-06-23,1.0944,1.095,1.0937000000000001,1.0947,231
1988-06-24,1.0811,1.0888,1.0776,1.0814,2211
1988-06-27,1.075,1.0754,1.0734,1.0748,381
1988-06-28,1.0825,1.0861,1.0813,1.0825,961
1988-06-29,1.0704,1.0725,1.069,1.0702,681
1988-06-30,1.0762,1.0762,1.0752,1.0762,201
1988-07-01,1.0738,1.0743,1.0731,1.0741,211
1988-07-05,1.0724,1.0724,1.0724,1.0724,1
1988-07-06,1.0735999999999999,1.074,1.0735999999999999,1.0739,51
1988-07-07,1.0768,1.0776,1.0765,1.0768,221
1988-07-08,1.067,1.0723,1.0641,1.067,1641
1988-07-11,1.0606,1.0627,1.0594,1.0604,641
1988-07-12,1.0636,1.0641,1.0627,1.0637,271
1988-07-13,1.06,1.0619,1.0588,1.06,621
1988-07-14,1.0589,1.0594,1.0588,1.0591,101
1988-07-15,1.0458,1.0526,1.0424,1.0455,2011
1988-07-18,1.0384,1.0395,1.0355,1.038,761
1988-07-19,1.049,1.0491,1.0488,1.0491,51
1988-07-20,1.0561,1.0566,1.0551,1.0562,291
1988-07-21,1.0648,1.0653,1.0641,1.0646,221
1988-07-22,1.0705,1.0707,1.0694,1.0707,241
1988-07-25,1.0613,1.0642,1.0597,1.0611,881
1988-07-26,1.0519,1.0531,1.0511,1.0519,401
1988-07-27,1.0563,1.0578,1.053,1.0562,951
1988-07-28,1.0506,1.0545,1.0487,1.0504,1141
1988-07-29,1.0439,1.0455,1.0431,1.0441,461
1988-08-01,1.0425,1.0435,1.042,1.0426,291
1988-08-02,1.0441,1.0484,1.0423,1.0443,1201
1988-08-03,1.0424,1.0426,1.0421,1.0426,81
1988-08-04,1.04,1.0402,1.04,1.0402,21
1988-08-05,1.0348,1.0387,1.033,1.0352,1101
1988-08-08,1.0279,1.0279,1.0279,1.0279,1
1988-08-09,1.0245,1.0318,1.0208,1.0243,2181
1988-08-10,1.0209,1.0209,1.0209,1.0209,1
1988-08-11,1.03,1.0302,1.0295,1.0298,121
1988-08-12,1.0395,1.0399,1.0388,1.0395,221
1988-08-15,1.0391,1.0396,1.0383,1.0393,241
1988-08-16,1.0462,1.0486,1.0452,1.0461,671
1988-08-17,1.0252,1.031,1.0222,1.0255,1731
1988-08-18,1.0319,1.0348,1.0302,1.0318,911
1988-08-19,1.035,1.0373,1.0338,1.035,701
1988-08-22,1.0193,1.0197,1.0186,1.0192,211
1988-08-23,1.0271,1.0292,1.0257,1.0271,701
1988-08-24,1.0343,1.0345,1.0339,1.034,91
1988-08-25,1.0489,1.0493,1.0477,1.0491,301
1988-08-26,1.052,1.0532,1.0503,1.0523,551
1988-08-29,1.0469,1.0475,1.0468,1.0469,141
1988-08-30,1.0466,1.047,1.0456,1.0468,261
1988-08-31,1.0411,1.0413000000000001,1.041,1.0412,51
1988-09-01,1.0427,1.0438,1.041,1.0429,541
1988-09-02,1.049,1.0518,1.0436,1.0493,1611
1988-09-06,1.0605,1.0612,1.059,1.0604,431
1988-09-07,1.0609,1.061,1.0608,1.061,31
1988-09-08,1.0578,1.0581,1.0573,1.0578,161
