time,open,high,low,close,volume
1994-01-31,0.5711,0.5738,0.5679,0.5726,1031
1994-02-01,0.5711,0.5738,0.5679,0.573,1922
1994-02-02,0.5727,0.5733,0.5687,0.5711,1642
1994-02-03,0.572,0.5729,0.5687,0.5698,1172
1994-02-04,0.5716,0.5728,0.5698,0.5698,421
1994-02-06,0.5703,0.5742,0.5702,0.5733,501
1994-02-07,0.5703,0.5776,0.5702,0.5736,1382
1994-02-08,0.5728,0.5776,0.5728,0.5758,1302
1994-02-09,0.5752,0.578,0.5749,0.5749,952
1994-02-10,0.5758,0.578,0.5726,0.5736,892
1994-02-11,0.5752,0.5752,0.5726,0.5736,361
1994-02-13,0.5741,0.5742,0.5712,0.5717,361
1994-02-14,0.5741,0.575,0.5712,0.5731,942
1994-02-15,0.5719,0.576,0.5715,0.5751,1262
1994-02-16,0.5747,0.577,0.5724,0.5756,1102
1994-02-17,0.5756,0.577,0.573,0.5741,902
1994-02-18,0.5767,0.5767,0.573,0.5741,481
1994-02-20,0.5733,0.5743,0.5722,0.5725,341
1994-02-21,0.5733,0.5799,0.5722,0.579,702
1994-02-22,0.5778,0.5809,0.5775,0.5801,802
1994-02-23,0.5787,0.5822,0.578,0.5786,1072
1994-02-24,0.5799,0.5822,0.577,0.5771,902
1994-02-25,0.579,0.5793,0.577,0.5771,271
1994-02-27,0.577,0.5784,0.5753,0.5764,561
1994-02-28,0.577,0.5784,0.5747,0.5747,1002
1994-03-01,0.5761,0.5776,0.568,0.5704,1732
1994-03-02,0.5751,0.5768,0.568,0.5714,1642
1994-03-03,0.5695,0.5749,0.5695,0.5721,1182
1994-03-04,0.5714,0.5749,0.5704,0.5721,831
1994-03-06,0.5738,0.5782,0.5738,0.5767,591
1994-03-07,0.5738,0.5788,0.5738,0.5746,1222
1994-03-08,0.5767,0.5788,0.5734,0.5746,1112
1994-03-09,0.5748,0.5759,0.5706,0.5709,1062
1994-03-10,0.5753,0.5757,0.5706,0.5736,972
1994-03-11,0.5717,0.5744,0.5715,0.5736,391
1994-03-13,0.5763,0.5774,0.5755,0.5761,361
1994-03-14,0.5763,0.5779,0.5755,0.5776,682
1994-03-15,0.5762,0.5781,0.5753,0.5776,872
1994-03-16,0.5775,0.5787,0.5734,0.5734,1082
1994-03-17,0.5787,0.5787,0.5726,0.5743,952
1994-03-18,0.5737,0.575,0.5726,0.5743,421
1994-03-20,0.5722,0.5747,0.5687,0.5689,871
1994-03-21,0.5722,0.5747,0.5668,0.5691,1582
1994-03-22,0.5688,0.5719,0.5668,0.5699,1592
1994-03-23,0.5707,0.5719,0.5634,0.5661,1862
1994-03-24,0.5697,0.5701,0.5634,0.5671,1592
1994-03-25,0.5664,0.569,0.5656,0.5671,611
1994-03-27,0.5708,0.571,0.5685,0.5686,281
1994-03-28,0.5708,0.571,0.5645,0.5645,942
1994-03-29,0.5689,0.57,0.5561,0.5621,2572
1994-03-30,0.564,0.5666,0.5561,0.563,2362
1994-03-31,0.5623,0.5654,0.5616,0.5641,922
1994-04-01,0.564,0.5654,0.563,0.5641,471
1994-04-03,0.5655,0.5661,0.5623,0.5623,441
1994-04-04,0.5655,0.5661,0.5612,0.5651,1082
1994-04-05,0.5629,0.5684,0.5612,0.5676,1372
1994-04-06,0.5671,0.5712,0.5645,0.5671,1842
1994-04-07,0.5678,0.5734,0.5653,0.5701,2382
1994-04-08,0.5702,0.5734,0.567,0.5701,1271
1994-04-10,0.5703,0.571,0.5687,0.5692,351
1994-04-11,0.5703,0.5714,0.5678,0.5681,1012
1994-04-12,0.5687,0.5714,0.5646,0.5657,1382
1994-04-13,0.5683,0.5695,0.5646,0.5666,1232
1994-04-14,0.5659,0.5696,0.5656,0.568,1022
1994-04-15,0.5667,0.5696,0.5664,0.568,511
1994-04-17,0.5699,0.5709,0.5666,0.5666,531
1994-04-18,0.5699,0.5709,0.5651,0.5651,1112
1994-04-19,0.5667,0.5688,0.5651,0.5671,1152
1994-04-20,0.567,0.5717,0.5652,0.5706,1312
1994-04-21,0.5674,0.5752,0.5664,0.5736,1412
1994-04-22,0.5725,0.5752,0.5713,0.5736,671
1994-04-24,0.5742,0.5765,0.5731,0.5743,671
1994-04-25,0.5742,0.5765,0.5728,0.5731,1012
1994-04-26,0.5747,0.5753,0.5728,0.5746,782
1994-04-27,0.5746,0.5774,0.573,0.5761,1142
1994-04-28,0.5747,0.578,0.5732,0.5774,1172
1994-04-29,0.5765,0.578,0.5752,0.5774,471
1994-05-01,0.5782,0.5782,0.5762,0.5771,291
1994-05-02,0.5782,0.5782,0.5741,0.5741,682
1994-05-03,0.576,0.578,0.5734,0.5761,1162
1994-05-04,0.5746,0.584,0.5734,0.578,2112
1994-05-05,0.579,0.584,0.5756,0.5781,1912
1994-05-06,0.578,0.5785,0.5756,0.5781,571
1994-05-08,0.5784,0.581,0.5768,0.5791,771
1994-05-09,0.5784,0.583,0.5768,0.5805,1692
1994-05-10,0.5791,0.583,0.5777,0.5796,1332
1994-05-11,0.5809,0.5834,0.5791,0.5811,1182
1994-05-12,0.5802,0.585,0.5791,0.5831,962
1994-05-13,0.585,0.585,0.5831,0.5831,191
1994-05-15,0.584,0.5873,0.584,0.5861,451
1994-05-16,0.584,0.5873,0.584,0.5853,812
1994-05-17,0.5867,0.5873,0.5845,0.5868,692
1994-05-18,0.5845,0.5873,0.5845,0.5856,582
